Order ID,Customer,Amount,Activity,Timestamp,Order Status,Resource
SO-2026-0017,Globex Stores,20404.63,Receive Order,2026-02-03T13:25:32Z,Received,Luis Ortega
SO-2026-0018,Umbrella Group,39142.76,Receive Order,2026-02-03T13:36:15Z,Received,Priya Nair
SO-2026-0016,Umbrella Group,16975.30,Run Credit Check,2026-02-03T14:07:32Z,Credit Check,Credit Desk
SO-2026-0019,Soylent Foods,22040.41,Receive Order,2026-02-03T14:11:11Z,Received,Priya Nair
SO-2026-0020,Initech Ltd,40934.00,Receive Order,2026-02-03T14:16:21Z,Received,Tom Becker
SO-2026-0004,Stark Traders,19558.17,Fulfil Order,2026-02-03T14:47:00Z,Fulfilled,Fulfilment Centre
SO-2026-0021,Acme Retail,2993.42,Receive Order,2026-02-03T15:15:05Z,Received,Tom Becker
SO-2026-0003,Globex Stores,13556.03,Invoice Customer,2026-02-03T16:02:27Z,Invoiced,Billing System
SO-2026-0014,Initech Ltd,45398.75,Run Credit Check,2026-02-03T16:27:27Z,Credit Check,Credit Desk
SO-2026-0022,Wonka Brands,19321.40,Receive Order,2026-02-03T16:47:27Z,Received,Priya Nair
SO-2026-0017,Globex Stores,13565.87,Run Credit Check,2026-02-03T17:10:32Z,Credit Check,Credit Desk
SO-2026-0020,Initech Ltd,7030.26,Run Credit Check,2026-02-03T17:35:21Z,Credit Check,Credit Desk
SO-2026-0013,Wayne Enterprises,7867.11,Run Credit Check,2026-02-03T18:34:14Z,Credit Check,Credit Desk
SO-2026-0012,Wayne Enterprises,32415.00,Place On Credit Hold,2026-02-03T19:02:53Z,On Credit Hold,Credit Desk
SO-2026-0015,Initech Ltd,19710.56,Run Credit Check,2026-02-03T19:05:46Z,Credit Check,Credit Desk
SO-2026-0011,Acme Retail,35883.39,Fulfil Order,2026-02-03T19:59:18Z,Fulfilled,Fulfilment Centre
SO-2026-0014,Initech Ltd,20681.21,Approve Order,2026-02-03T20:46:27Z,Approved,Order Desk
SO-2026-0005,Initech Ltd,8218.34,Fulfil Order,2026-02-03T20:54:04Z,Fulfilled,Fulfilment Centre
SO-2026-0018,Umbrella Group,15988.24,Run Credit Check,2026-02-03T22:17:15Z,Credit Check,Credit Desk
SO-2026-0019,Soylent Foods,11730.82,Run Credit Check,2026-02-03T22:44:11Z,Credit Check,Credit Desk
SO-2026-0021,Acme Retail,41126.46,Run Credit Check,2026-02-03T23:20:05Z,Credit Check,Credit Desk
SO-2026-0001,Soylent Foods,13313.57,Fulfil Order,2026-02-03T23:37:45Z,Fulfilled,Fulfilment Centre
SO-2026-0022,Wonka Brands,6873.49,Run Credit Check,2026-02-03T23:54:27Z,Credit Check,Credit Desk
SO-2026-0012,Wayne Enterprises,9697.12,Release Credit Hold,2026-02-04T00:11:53Z,Approved,Credit Desk
SO-2026-0019,Soylent Foods,22133.37,Place On Credit Hold,2026-02-04T00:40:11Z,On Credit Hold,Credit Desk
SO-2026-0005,Initech Ltd,12038.70,Invoice Customer,2026-02-04T02:04:04Z,Invoiced,Billing System
SO-2026-0016,Umbrella Group,15175.20,Approve Order,2026-02-04T02:06:32Z,Approved,Order Desk
SO-2026-0006,Acme Retail,30049.39,Fulfil Order,2026-02-04T02:44:28Z,Fulfilled,Fulfilment Centre
SO-2026-0015,Initech Ltd,37073.51,Approve Order,2026-02-04T02:45:46Z,Approved,Order Desk
SO-2026-0017,Globex Stores,30199.10,Approve Order,2026-02-04T04:10:32Z,Approved,Order Desk
SO-2026-0009,Hooli Inc,26680.86,Fulfil Order,2026-02-04T05:10:44Z,Fulfilled,Fulfilment Centre
SO-2026-0002,Wonka Brands,25567.91,Fulfil Order,2026-02-04T05:13:36Z,Fulfilled,Fulfilment Centre
SO-2026-0020,Initech Ltd,17109.37,Place On Credit Hold,2026-02-04T05:24:21Z,On Credit Hold,Credit Desk
SO-2026-0008,Initech Ltd,9381.83,Fulfil Order,2026-02-04T05:30:13Z,Fulfilled,Fulfilment Centre
SO-2026-0021,Acme Retail,27204.28,Approve Order,2026-02-04T06:06:05Z,Approved,Order Desk
SO-2026-0012,Wayne Enterprises,37800.17,Fulfil Order,2026-02-04T07:53:53Z,Fulfilled,Fulfilment Centre
SO-2026-0023,Initech Ltd,45368.44,Receive Order,2026-02-04T08:20:02Z,Received,Nadia Rahman
SO-2026-0018,Umbrella Group,10931.84,Approve Order,2026-02-04T08:42:15Z,Approved,Order Desk
SO-2026-0024,Umbrella Group,22436.69,Receive Order,2026-02-04T08:45:17Z,Received,Luis Ortega
SO-2026-0025,Globex Stores,35002.06,Receive Order,2026-02-04T09:11:23Z,Received,Nadia Rahman
SO-2026-0026,Hooli Inc,11825.47,Receive Order,2026-02-04T09:15:57Z,Received,Luis Ortega
SO-2026-0027,Wayne Enterprises,3086.92,Receive Order,2026-02-04T09:26:35Z,Received,Priya Nair
SO-2026-0027,Wayne Enterprises,36233.20,Run Credit Check,2026-02-04T10:41:35Z,Credit Check,Credit Desk
SO-2026-0002,Wonka Brands,37683.25,Invoice Customer,2026-02-04T11:16:36Z,Invoiced,Billing System
SO-2026-0028,Initech Ltd,11305.52,Receive Order,2026-02-04T12:02:35Z,Received,Tom Becker
SO-2026-0006,Acme Retail,26208.45,Invoice Customer,2026-02-04T12:24:28Z,Invoiced,Billing System
SO-2026-0007,Wonka Brands,22830.50,Fulfil Order,2026-02-04T12:35:05Z,Fulfilled,Fulfilment Centre
SO-2026-0022,Wonka Brands,17661.69,Place On Credit Hold,2026-02-04T12:40:27Z,On Credit Hold,Credit Desk
SO-2026-0029,Soylent Foods,28984.15,Receive Order,2026-02-04T12:43:01Z,Received,Nadia Rahman
SO-2026-0026,Hooli Inc,1609.12,Run Credit Check,2026-02-04T12:45:57Z,Credit Check,Credit Desk
SO-2026-0027,Wayne Enterprises,6383.07,Approve Order,2026-02-04T12:46:35Z,Approved,Order Desk
SO-2026-0019,Soylent Foods,26446.92,Release Credit Hold,2026-02-04T13:18:11Z,Approved,Credit Desk
SO-2026-0030,Wayne Enterprises,1715.41,Receive Order,2026-02-04T13:30:33Z,Received,Priya Nair
SO-2026-0007,Wonka Brands,5196.81,Invoice Customer,2026-02-04T13:49:05Z,Invoiced,Billing System
SO-2026-0031,Soylent Foods,780.25,Receive Order,2026-02-04T14:22:19Z,Received,Nadia Rahman
SO-2026-0004,Stark Traders,3376.86,Invoice Customer,2026-02-04T14:23:00Z,Invoiced,Billing System
SO-2026-0028,Initech Ltd,6596.78,Run Credit Check,2026-02-04T14:26:35Z,Credit Check,Credit Desk
SO-2026-0013,Wayne Enterprises,21438.30,Cancel Order,2026-02-04T14:28:14Z,Cancelled,Tom Becker
SO-2026-0010,Globex Stores,8046.36,Fulfil Order,2026-02-04T14:33:07Z,Fulfilled,Fulfilment Centre
SO-2026-0024,Umbrella Group,33658.12,Run Credit Check,2026-02-04T14:34:17Z,Credit Check,Credit Desk
SO-2026-0032,Initech Ltd,42706.89,Receive Order,2026-02-04T14:39:12Z,Received,Tom Becker
SO-2026-0029,Soylent Foods,27284.61,Run Credit Check,2026-02-04T14:47:01Z,Credit Check,Credit Desk
SO-2026-0025,Globex Stores,5948.26,Run Credit Check,2026-02-04T15:44:23Z,Credit Check,Credit Desk
SO-2026-0001,Soylent Foods,31784.95,Invoice Customer,2026-02-04T15:59:45Z,Invoiced,Billing System
SO-2026-0033,Soylent Foods,23364.88,Receive Order,2026-02-04T16:01:33Z,Received,Luis Ortega
SO-2026-0021,Acme Retail,7748.79,Fulfil Order,2026-02-04T16:08:05Z,Fulfilled,Fulfilment Centre
SO-2026-0034,Hooli Inc,21046.85,Receive Order,2026-02-04T16:14:07Z,Received,Priya Nair
SO-2026-0023,Initech Ltd,18125.35,Run Credit Check,2026-02-04T16:20:02Z,Credit Check,Credit Desk
SO-2026-0035,Initech Ltd,37506.90,Receive Order,2026-02-04T16:31:33Z,Received,Nadia Rahman
SO-2026-0011,Acme Retail,38533.95,Invoice Customer,2026-02-04T17:23:18Z,Invoiced,Billing System
SO-2026-0020,Initech Ltd,13777.77,Ship Goods,2026-02-04T18:15:21Z,Fulfilled,Fulfilment Centre
SO-2026-0025,Globex Stores,25055.64,Approve Order,2026-02-04T18:21:23Z,Approved,Order Desk
SO-2026-0009,Hooli Inc,30244.99,Invoice Customer,2026-02-04T18:24:44Z,Invoiced,Billing System
SO-2026-0031,Soylent Foods,23414.66,Run Credit Check,2026-02-04T18:30:19Z,Credit Check,Credit Desk
SO-2026-0030,Wayne Enterprises,44027.31,Ship Goods,2026-02-04T18:56:33Z,Fulfilled,Fulfilment Centre
SO-2026-0008,Initech Ltd,6090.40,Invoice Customer,2026-02-04T19:42:13Z,Invoiced,Billing System
SO-2026-0033,Soylent Foods,5910.96,Run Credit Check,2026-02-04T19:50:33Z,Credit Check,Credit Desk
SO-2026-0031,Soylent Foods,19442.88,Place On Credit Hold,2026-02-04T20:28:19Z,On Credit Hold,Credit Desk
SO-2026-0028,Initech Ltd,1998.51,Place On Credit Hold,2026-02-04T20:42:35Z,On Credit Hold,Credit Desk
SO-2026-0035,Initech Ltd,41959.32,Run Credit Check,2026-02-04T21:11:33Z,Credit Check,Credit Desk
SO-2026-0032,Initech Ltd,14085.16,Run Credit Check,2026-02-04T21:14:12Z,Credit Check,Credit Desk
SO-2026-0024,Umbrella Group,3829.93,Approve Order,2026-02-04T21:35:17Z,Approved,Order Desk
SO-2026-0023,Initech Ltd,1285.26,Approve Order,2026-02-04T22:15:02Z,Approved,Order Desk
SO-2026-0016,Umbrella Group,29595.03,Fulfil Order,2026-02-04T22:27:32Z,Fulfilled,Fulfilment Centre
SO-2026-0026,Hooli Inc,21032.27,Cancel Order,2026-02-04T23:47:57Z,Cancelled,Luis Ortega
SO-2026-0033,Soylent Foods,31749.93,Place On Credit Hold,2026-02-04T23:50:33Z,On Credit Hold,Credit Desk
SO-2026-0021,Acme Retail,40586.87,Invoice Customer,2026-02-05T00:28:05Z,Invoiced,Billing System
SO-2026-0034,Hooli Inc,8759.74,Run Credit Check,2026-02-05T01:01:07Z,Credit Check,Credit Desk
SO-2026-0030,Wayne Enterprises,1959.07,Invoice Customer,2026-02-05T01:03:33Z,Invoiced,Billing System
SO-2026-0029,Soylent Foods,26324.74,Place On Credit Hold,2026-02-05T01:24:01Z,On Credit Hold,Credit Desk
SO-2026-0032,Initech Ltd,45616.77,Place On Credit Hold,2026-02-05T02:04:12Z,On Credit Hold,Credit Desk
SO-2026-0035,Initech Ltd,4869.79,Place On Credit Hold,2026-02-05T03:13:33Z,On Credit Hold,Credit Desk
SO-2026-0012,Wayne Enterprises,21264.40,Invoice Customer,2026-02-05T04:45:53Z,Invoiced,Billing System
SO-2026-0036,Hooli Inc,29303.55,Receive Order,2026-02-05T08:21:34Z,Received,Priya Nair
SO-2026-0037,Hooli Inc,27034.08,Receive Order,2026-02-05T08:40:14Z,Received,Nadia Rahman
SO-2026-0038,Wonka Brands,20722.31,Receive Order,2026-02-05T08:59:27Z,Received,Nadia Rahman
SO-2026-0017,Globex Stores,16394.19,Fulfil Order,2026-02-05T09:03:32Z,Fulfilled,Fulfilment Centre
SO-2026-0039,Vandelay Co,15379.46,Receive Order,2026-02-05T09:07:49Z,Received,Luis Ortega
SO-2026-0010,Globex Stores,42140.47,Invoice Customer,2026-02-05T09:09:07Z,Invoiced,Billing System
SO-2026-0018,Umbrella Group,31217.32,Fulfil Order,2026-02-05T10:46:15Z,Fulfilled,Fulfilment Centre
SO-2026-0040,Hooli Inc,19748.16,Receive Order,2026-02-05T11:06:56Z,Received,Priya Nair
SO-2026-0020,Initech Ltd,1155.94,Invoice Customer,2026-02-05T11:08:21Z,Invoiced,Billing System
SO-2026-0037,Hooli Inc,28987.25,Run Credit Check,2026-02-05T11:10:14Z,Credit Check,Credit Desk
SO-2026-0041,Globex Stores,6740.24,Receive Order,2026-02-05T11:50:25Z,Received,Luis Ortega
SO-2026-0042,Globex Stores,32508.26,Receive Order,2026-02-05T12:33:44Z,Received,Nadia Rahman
SO-2026-0043,Globex Stores,15601.08,Receive Order,2026-02-05T13:27:16Z,Received,Priya Nair
SO-2026-0038,Wonka Brands,27364.55,Run Credit Check,2026-02-05T13:52:27Z,Credit Check,Credit Desk
SO-2026-0016,Umbrella Group,44160.57,Invoice Customer,2026-02-05T14:00:32Z,Invoiced,Billing System
SO-2026-0041,Globex Stores,17032.27,Run Credit Check,2026-02-05T14:04:25Z,Credit Check,Credit Desk
SO-2026-0040,Hooli Inc,44948.39,Run Credit Check,2026-02-05T14:18:56Z,Credit Check,Credit Desk
SO-2026-0036,Hooli Inc,5443.84,Run Credit Check,2026-02-05T14:24:34Z,Credit Check,Credit Desk
SO-2026-0039,Vandelay Co,21399.49,Approve Order,2026-02-05T15:03:49Z,Approved,Order Desk
SO-2026-0044,Acme Retail,41391.59,Receive Order,2026-02-05T15:14:43Z,Received,Nadia Rahman
SO-2026-0017,Globex Stores,40871.20,Invoice Customer,2026-02-05T15:21:32Z,Invoiced,Billing System
SO-2026-0043,Globex Stores,13020.94,Run Credit Check,2026-02-05T16:59:16Z,Credit Check,Credit Desk
SO-2026-0042,Globex Stores,9412.94,Run Credit Check,2026-02-05T17:36:44Z,Credit Check,Credit Desk
SO-2026-0040,Hooli Inc,38731.83,Approve Order,2026-02-05T17:41:56Z,Approved,Order Desk
SO-2026-0037,Hooli Inc,14947.24,Approve Order,2026-02-05T18:12:14Z,Approved,Order Desk
SO-2026-0041,Globex Stores,22345.47,Place On Credit Hold,2026-02-05T18:44:25Z,On Credit Hold,Credit Desk
SO-2026-0025,Globex Stores,11440.94,Fulfil Order,2026-02-05T19:09:23Z,Fulfilled,Fulfilment Centre
SO-2026-0007,Wonka Brands,11715.43,Raise Dispute,2026-02-05T20:20:05Z,Disputed,Priya Nair
SO-2026-0027,Wayne Enterprises,36227.41,Fulfil Order,2026-02-05T20:22:35Z,Fulfilled,Fulfilment Centre
SO-2026-0044,Acme Retail,3346.63,Run Credit Check,2026-02-05T20:23:43Z,Credit Check,Credit Desk
SO-2026-0014,Initech Ltd,12951.56,Fulfil Order,2026-02-05T20:52:27Z,Fulfilled,Fulfilment Centre
SO-2026-0015,Initech Ltd,25650.05,Fulfil Order,2026-02-05T21:46:46Z,Fulfilled,Fulfilment Centre
SO-2026-0023,Initech Ltd,10218.01,Fulfil Order,2026-02-05T22:14:02Z,Fulfilled,Fulfilment Centre
SO-2026-0036,Hooli Inc,29509.14,Approve Order,2026-02-05T22:18:34Z,Approved,Order Desk
SO-2026-0038,Wonka Brands,26372.01,Approve Order,2026-02-05T23:18:27Z,Approved,Order Desk
SO-2026-0018,Umbrella Group,18546.73,Invoice Customer,2026-02-05T23:52:15Z,Invoiced,Billing System
SO-2026-0034,Hooli Inc,18628.86,Cancel Order,2026-02-06T00:29:07Z,Cancelled,Priya Nair
SO-2026-0039,Vandelay Co,43689.63,Fulfil Order,2026-02-06T01:56:49Z,Fulfilled,Fulfilment Centre
SO-2026-0023,Initech Ltd,28307.96,Invoice Customer,2026-02-06T02:31:02Z,Invoiced,Billing System
SO-2026-0043,Globex Stores,32786.46,Approve Order,2026-02-06T03:01:16Z,Approved,Order Desk
SO-2026-0028,Initech Ltd,37420.48,Release Credit Hold,2026-02-06T03:42:35Z,Approved,Credit Desk
SO-2026-0044,Acme Retail,46042.18,Approve Order,2026-02-06T04:18:43Z,Approved,Order Desk
SO-2026-0042,Globex Stores,44162.87,Approve Order,2026-02-06T04:27:44Z,Approved,Order Desk
SO-2026-0014,Initech Ltd,13809.19,Invoice Customer,2026-02-06T07:46:27Z,Invoiced,Billing System
SO-2026-0019,Soylent Foods,23328.84,Fulfil Order,2026-02-06T08:30:11Z,Fulfilled,Fulfilment Centre
SO-2026-0027,Wayne Enterprises,26130.50,Invoice Customer,2026-02-06T08:30:35Z,Invoiced,Billing System
SO-2026-0025,Globex Stores,30077.36,Invoice Customer,2026-02-06T08:52:23Z,Invoiced,Billing System
SO-2026-0045,Initech Ltd,33236.27,Receive Order,2026-02-06T08:55:25Z,Received,Priya Nair
SO-2026-0046,Wonka Brands,39090.65,Receive Order,2026-02-06T10:10:33Z,Received,Tom Becker
SO-2026-0047,Acme Retail,43425.23,Receive Order,2026-02-06T11:08:39Z,Received,Nadia Rahman
SO-2026-0036,Hooli Inc,27912.73,Fulfil Order,2026-02-06T11:24:34Z,Fulfilled,Fulfilment Centre
SO-2026-0031,Soylent Foods,25185.88,Ship Goods,2026-02-06T11:35:19Z,Fulfilled,Fulfilment Centre
SO-2026-0015,Initech Ltd,41595.39,Invoice Customer,2026-02-06T12:10:46Z,Invoiced,Billing System
SO-2026-0004,Stark Traders,9761.44,Receive Payment,2026-02-06T12:13:00Z,Paid,Billing System
SO-2026-0022,Wonka Brands,21507.28,Release Credit Hold,2026-02-06T12:42:27Z,Approved,Credit Desk
SO-2026-0029,Soylent Foods,19959.87,Release Credit Hold,2026-02-06T12:51:01Z,Approved,Credit Desk
SO-2026-0048,Stark Traders,15936.14,Receive Order,2026-02-06T12:52:44Z,Received,Priya Nair
SO-2026-0049,Hooli Inc,5720.35,Receive Order,2026-02-06T13:05:35Z,Received,Tom Becker
SO-2026-0042,Globex Stores,30699.36,Fulfil Order,2026-02-06T15:07:44Z,Fulfilled,Fulfilment Centre
SO-2026-0050,Vandelay Co,47001.53,Receive Order,2026-02-06T15:30:10Z,Received,Nadia Rahman
SO-2026-0051,Acme Retail,10950.13,Receive Order,2026-02-06T15:43:38Z,Received,Luis Ortega
SO-2026-0052,Initech Ltd,13574.18,Receive Order,2026-02-06T16:02:31Z,Received,Tom Becker
SO-2026-0045,Initech Ltd,44493.98,Run Credit Check,2026-02-06T16:04:25Z,Credit Check,Credit Desk
SO-2026-0049,Hooli Inc,23391.37,Run Credit Check,2026-02-06T16:23:35Z,Credit Check,Credit Desk
SO-2026-0019,Soylent Foods,42022.89,Invoice Customer,2026-02-06T17:01:11Z,Invoiced,Billing System
SO-2026-0039,Vandelay Co,44027.75,Invoice Customer,2026-02-06T17:23:49Z,Invoiced,Billing System
SO-2026-0036,Hooli Inc,27002.34,Invoice Customer,2026-02-06T17:28:34Z,Invoiced,Billing System
SO-2026-0047,Acme Retail,36015.12,Run Credit Check,2026-02-06T17:32:39Z,Credit Check,Credit Desk
SO-2026-0024,Umbrella Group,37148.65,Fulfil Order,2026-02-06T17:37:17Z,Fulfilled,Fulfilment Centre
SO-2026-0032,Initech Ltd,1741.99,Release Credit Hold,2026-02-06T18:07:12Z,Approved,Credit Desk
SO-2026-0046,Wonka Brands,47940.90,Run Credit Check,2026-02-06T18:26:33Z,Credit Check,Credit Desk
SO-2026-0035,Initech Ltd,5640.01,Release Credit Hold,2026-02-06T19:18:33Z,Approved,Credit Desk
SO-2026-0048,Stark Traders,39674.54,Run Credit Check,2026-02-06T19:43:44Z,Credit Check,Credit Desk
SO-2026-0051,Acme Retail,41998.62,Run Credit Check,2026-02-06T20:50:38Z,Credit Check,Credit Desk
SO-2026-0042,Globex Stores,31473.20,Invoice Customer,2026-02-06T21:12:44Z,Invoiced,Billing System
SO-2026-0038,Wonka Brands,886.63,Fulfil Order,2026-02-06T21:53:27Z,Fulfilled,Fulfilment Centre
SO-2026-0049,Hooli Inc,39782.45,Approve Order,2026-02-06T22:05:35Z,Approved,Order Desk
SO-2026-0048,Stark Traders,38456.60,Place On Credit Hold,2026-02-06T22:05:44Z,On Credit Hold,Credit Desk
SO-2026-0024,Umbrella Group,28328.35,Invoice Customer,2026-02-06T22:32:17Z,Invoiced,Billing System
SO-2026-0022,Wonka Brands,2984.28,Fulfil Order,2026-02-06T22:39:27Z,Fulfilled,Fulfilment Centre
SO-2026-0033,Soylent Foods,6749.05,Release Credit Hold,2026-02-06T23:28:33Z,Approved,Credit Desk
SO-2026-0045,Initech Ltd,31447.76,Approve Order,2026-02-06T23:37:25Z,Approved,Order Desk
SO-2026-0052,Initech Ltd,7547.18,Run Credit Check,2026-02-06T23:49:31Z,Credit Check,Credit Desk
SO-2026-0052,Initech Ltd,40472.84,Approve Order,2026-02-07T01:37:31Z,Approved,Order Desk
SO-2026-0051,Acme Retail,22218.77,Approve Order,2026-02-07T01:40:38Z,Approved,Order Desk
SO-2026-0046,Wonka Brands,36107.55,Approve Order,2026-02-07T02:59:33Z,Approved,Order Desk
SO-2026-0043,Globex Stores,38830.70,Fulfil Order,2026-02-07T03:15:16Z,Fulfilled,Fulfilment Centre
SO-2026-0032,Initech Ltd,4362.02,Fulfil Order,2026-02-07T04:06:12Z,Fulfilled,Fulfilment Centre
SO-2026-0035,Initech Ltd,46577.74,Fulfil Order,2026-02-07T04:22:33Z,Fulfilled,Fulfilment Centre
SO-2026-0050,Vandelay Co,46081.37,Approve Order,2026-02-07T04:28:10Z,Approved,Order Desk
SO-2026-0041,Globex Stores,7875.57,Ship Goods,2026-02-07T05:24:25Z,Fulfilled,Fulfilment Centre
SO-2026-0047,Acme Retail,1890.34,Approve Order,2026-02-07T05:40:39Z,Approved,Order Desk
SO-2026-0022,Wonka Brands,40461.44,Invoice Customer,2026-02-07T05:54:27Z,Invoiced,Billing System
SO-2026-0052,Initech Ltd,39534.54,Fulfil Order,2026-02-07T06:27:31Z,Fulfilled,Fulfilment Centre
SO-2026-0048,Stark Traders,3421.41,Cancel Order,2026-02-07T07:53:44Z,Cancelled,Priya Nair
SO-2026-0031,Soylent Foods,24338.50,Invoice Customer,2026-02-07T08:30:19Z,Invoiced,Billing System
SO-2026-0051,Acme Retail,16707.03,Fulfil Order,2026-02-07T08:36:38Z,Fulfilled,Fulfilment Centre
SO-2026-0001,Soylent Foods,20982.95,Receive Payment,2026-02-07T09:13:45Z,Paid,Billing System
SO-2026-0050,Vandelay Co,20825.87,Fulfil Order,2026-02-07T10:00:10Z,Fulfilled,Fulfilment Centre
SO-2026-0010,Globex Stores,8118.17,Receive Payment,2026-02-07T11:58:07Z,Paid,Billing System
SO-2026-0043,Globex Stores,18336.59,Invoice Customer,2026-02-07T12:11:16Z,Invoiced,Billing System
SO-2026-0044,Acme Retail,19170.96,Fulfil Order,2026-02-07T12:11:43Z,Fulfilled,Fulfilment Centre
SO-2026-0016,Umbrella Group,32624.47,Receive Payment,2026-02-07T12:19:32Z,Paid,Billing System
SO-2026-0040,Hooli Inc,30357.47,Fulfil Order,2026-02-07T12:36:56Z,Fulfilled,Fulfilment Centre
SO-2026-0038,Wonka Brands,39923.48,Invoice Customer,2026-02-07T12:51:27Z,Invoiced,Billing System
SO-2026-0037,Hooli Inc,26254.32,Fulfil Order,2026-02-07T15:21:14Z,Fulfilled,Fulfilment Centre
SO-2026-0032,Initech Ltd,36183.52,Invoice Customer,2026-02-07T17:10:12Z,Invoiced,Billing System
SO-2026-0020,Initech Ltd,26015.36,Receive Payment,2026-02-07T17:28:21Z,Paid,Billing System
SO-2026-0035,Initech Ltd,14465.56,Invoice Customer,2026-02-07T18:32:33Z,Invoiced,Billing System
SO-2026-0040,Hooli Inc,11006.29,Invoice Customer,2026-02-07T20:37:56Z,Invoiced,Billing System
SO-2026-0019,Soylent Foods,44327.21,Receive Payment,2026-02-07T21:47:11Z,Paid,Billing System
